,product_type,product_package_name_ar,product_package_name_en,product_duration,product_package_descr_ar,product_package_descr_en,product_package_validity,value_proposition_ar,value_proposition_en,frequency,label_ar,label_en,product_quantity,roles,price,discounted_price,cat_arabic_name,cat_english_name,product_package_id,product_package_offer_id,l2,l1,priority_for_l2,priority_for_l1
410,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",51.0,,شاليهات وكبائن للبيع,Chalets & Cabins For Sale,788,732,Chalets & Cabins For Sale,Properties,7,2.0
411,featured_ad,إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days","14 days, 0:00:00",إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days",30 days,,,,,,1,"{public,single}",74.5,67.0,شقق وفلل للبيع,Apartments & Villas For Sale,1271,4604,Apartments & Villas For Sale,Properties,1,2.0
412,featured_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,"3 days, 0:00:00",إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,,,,1,"{public,single}",10.0,9.0,أجهزة منزلية أخرى,Other Home Appliances,1337,5459,Other Home Appliances,Electronics & Home Appliances,12,5.0
413,featured_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,"3 days, 0:00:00",إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,,,,1,"{public,single}",11.0,9.9,تلفزيونات و فيديو,TV & Video,1337,5460,TV & Video,Electronics & Home Appliances,1,5.0
414,featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",3.0,2.4,تجارة وصناعة,Business & Industrial,786,5620,GENERAL,Business & Industrial,7,
415,featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",15.0,,شاليهات وكبائن للإيجار,Chalets & Cabins For Rent,786,5805,Chalets & Cabins For Rent,Properties,8,2.0
416,featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",15.0,,عقارات تجارية للإيجار,Commercials For Rent,786,5836,Commercials For Rent,Properties,4,2.0
417,featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",17.0,16.15,سيارات للبيع,Cars for Sale,786,5584,Cars for Sale,Vehicles,1,1.0
418,featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",15.0,14.25,باصات ومركبات ثقيلة,Trucks & Buses,786,5588,Trucks & Buses,Vehicles,7,1.0
419,featured_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,"3 days, 0:00:00",إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,,,,1,"{public,single}",16.0,10.88,وظائف شاغرة,Jobs Available,1337,5520,Jobs Available,Jobs,2,12.0
